"x","y","orientation","v","w"
0.0246971,1.62153e-06,,,
0.0229433,1.88847e-05,,,
0.0232253,2.80028e-05,,,
0.022385,1.24612e-05,,,
0.0225737,1.70135e-05,,,
0.0224047,3.01394e-05,,,
0.024027,1.65232e-05,,,
0.024333,3.01941e-05,,,
0.0226837,1.77987e-05,,,
0.0228695,3.24658e-05,,,
0.0234793,2.99566e-05,,,
0.0232285,2.33845e-05,,,
0.0233436,2.92475e-05,,,
0.0232671,2.79883e-05,,,
0.0245678,2.72165e-05,,,
0.024364,3.37405e-05,,,
0.024058,3.25384e-05,,,
0.0242163,2.33299e-05,,,
0.0232733,9.67522e-07,,,
0.0244046,3.1472e-05,,,
0.0235769,3.14311e-05,,,
0.0225819,5.09404e-06,,,
0.0233064,1.60668e-05,,,
0.0244467,1.33986e-05,,,
0.0231861,1.84981e-05,,,
0.0245458,2.69666e-05,,,
0.0233089,2.45987e-05,,,
0.0240375,3.14059e-05,,,
0.0246743,1.24929e-05,,,
0.0226861,4.3353e-06,,,
0.0243444,3.14446e-05,,,
0.0229992,2.75794e-05,,,
0.0234276,2.17241e-05,,,
0.0237849,2.39738e-05,,,
0.022545,2.07163e-05,,,
0.0227783,3.13446e-05,,,
0.0244018,2.34437e-05,,,
0.0239882,1.47331e-05,,,
0.0243929,2.64999e-05,,,
0.0229779,2.31167e-05,,,
0.023235,2.5933e-05,,,
0.023447,2.85614e-05,,,
0.0239202,2.08789e-05,,,
0.0226887,3.25248e-05,,,
0.0236185,1.97015e-05,,,
0.0229498,3.22846e-05,,,
0.0245034,4.92568e-06,,,
0.0236727,3.07538e-05,,,
0.0245775,1.80353e-05,,,
0.0237547,2.34137e-05,,,
0.0243634,1.72486e-05,,,
0.0236228,1.56537e-05,,,
0.0226941,1.30076e-05,,,
0.0239144,2.37282e-05,,,
0.0238606,1.95327e-05,,,
0.0242386,1.71082e-05,,,
0.0232033,3.07427e-05,,,
0.0227599,1.59387e-05,,,
0.0241975,3.35591e-05,,,
0.0236082,2.67891e-05,,,
0.0240872,2.59712e-05,,,
0.0239608,2.20302e-05,,,
0.0231756,1.94811e-05,,,
0.0222484,2.56136e-05,,,
0.0238492,2.05274e-05,,,
0.0238812,5.68172e-06,,,
0.0241959,2.43325e-05,,,
0.02371,2.59444e-05,,,
0.0229918,1.91059e-05,,,
0.0233481,1.98824e-05,,,
0.023319,3.03732e-05,,,
0.0236572,6.36436e-06,,,
0.023784,2.87345e-05,,,
0.0243193,2.02319e-05,,,
0.0229851,3.02312e-05,,,
0.0240987,2.74435e-05,,,
0.0241423,2.32354e-05,,,
0.0234372,3.05974e-05,,,
0.0237203,1.28026e-06,,,
0.0229375,1.35409e-05,,,
0.0220017,2.52688e-05,,,
0.0228416,1.76953e-05,,,
0.0236126,6.34686e-06,,,
0.0227507,2.46579e-05,,,
0.0238347,1.77299e-05,,,
0.02425,1.22816e-05,,,
0.0235072,1.56721e-05,,,
0.0239114,1.70162e-05,,,
0.022092,2.83799e-05,,,
0.0246693,3.11537e-05,,,
0.0236769,3.12397e-05,,,
0.0218768,1.35139e-05,,,
0.0228383,3.15344e-05,,,
